ID	DisplayName	Description	ConflictSkillIds
Luck p2	Luck +2	Grants Lck+2.	Luck p2, Luck p4, Luck p6, Luck p8, Luck p10, Luck p12
Divine Pulse	Divine Pulse	May turn a missed attack into a hit. Trigger %=30. Chance increases with high Lck. [+1% for every 1 Luck.]	Divine Pulsep
Instruct	Instruct	Use to grant allies within 2 spaces a stat bonus based on user’s type. Bonus lasts for 1 turn.	
Goddess Dance	Goddess Dance	Use to grant another action to all adjacent allies.	
Luck p4	Luck +4	Grants Lck+4.	Luck p4, Luck p6, Luck p8, Luck p10, Luck p12
Mentorship	Mentorship	Grants 1.2× EXP modifier to unit and adjacent allies.	
Art Focus 1	Art Focus 1	Grants Hit+10 at a cost of Ddg-10 when using an art.	Art Focus 2, Art Focus 3, Art Focus 4, Art Focus 5
Art Focus 2	Art Focus 2	Grants Hit+15 at a cost of Ddg-10 when using an art.	Art Focus 1, Art Focus 3, Art Focus 4, Art Focus 5
Art Focus 3	Art Focus 3	Grants Hit+20 at a cost of Ddg-10 when using an art.	Art Focus 1, Art Focus 2, Art Focus 4, Art Focus 5
Luck p6	Luck +6	Grants Lck+6.	Luck p2, Luck p4, Luck p8, Luck p10, Luck p12
Art Focus 4	Art Focus 4	Grants Hit+25 at a cost of Ddg-10 when using an art.	Art Focus 1, Art Focus 2, Art Focus 3, Art Focus 5
Lost n Found	Lost & Found	If unit finishes an action or waits next to an ally, may find an item and increase support with that ally. Trigger %=Lck.	
Art Focus 5	Art Focus 5	Grants Hit+30 at a cost of Ddg-10 when using an art.	Art Focus 1, Art Focus 2, Art Focus 3, Art Focus 4
Luck p8	Luck +8	Grants Lck+8.	Luck p2, Luck p4, Luck p6, Luck p10, Luck p12
Luck p10	Luck +10	Grants Lck+10.	Luck p2, Luck p4, Luck p6, Luck p8, Luck p12
Divine Pulsep	Divine Pulse+	May turn a missed attack into a hit. Trigger %=50. Chance increases with high Lck. [+1% for every 1 Luck.]	Divine Pulse
Luck p12	Luck +12	Grants Lck+12.	Luck p2, Luck p4, Luck p6, Luck p8, Luck p10
HP p5	HP +5	Grants max HP+5.	HP p7, HP p10, HP p12, HP p15
Dragon Vein	Dragon Vein	Use to add a special effect to certain spaces.	
Dreadful Aura	Dreadful Aura	If unit initiates combat, target foe and all foes within 1 space of it cannot move for 1 turn after combat.	
Torrential Roar	Torrential Roar	Use to attack 3 spaces in a line, turning those spaces into water terrain.	
HP p7	HP +7	Grants max HP+7.	HP p5, HP p10, HP p12, HP p15
Quality Time	Quality Time	After unit acts or waits, restores 5 HP to adjacent allies and slightly increases support with them.	Quality Timep
Sword Focus 1	Sword Focus 1	Grants Hit+10 at a cost of Ddg-10 when using a sword.	Sword Focus 2, Sword Focus 3, Sword Focus 4, Sword Focus 5
Sword Focus 2	Sword Focus 2	Grants Hit+15 at a cost of Ddg-10 when using a sword.	Sword Focus 1, Sword Focus 3, Sword Focus 4, Sword Focus 5
Draconic Hex	Draconic Hex	If unit initiates combat, inflicts -4 to all of foe’s basic stats after combat. (Penalties shrink by 1 each turn.)	
HP p10	HP +10	Grants max HP+10.	HP p5, HP p7, HP p12, HP p15
Sword Focus 3	Sword Focus 3	Grants Hit+20 at a cost of Ddg-10 when using a sword.	Sword Focus 1, Sword Focus 2, Sword Focus 4, Sword Focus 5
Pair Up	Pair Up	Prevents damage from foes’ chain attacks against unit.	
Sword Focus 4	Sword Focus 4	Grants Hit+25 at a cost of Ddg-10 when using a sword.	Sword Focus 1, Sword Focus 2, Sword Focus 3, Sword Focus 5
HP p12	HP +12	Grants max HP+12.	HP p5, HP p7, HP p10, HP p15
Sword Focus 5	Sword Focus 5	Grants Hit+30 at a cost of Ddg-10 when using a sword.	Sword Focus 1, Sword Focus 2, Sword Focus 3, Sword Focus 4
Quality Timep	Quality Time+	After unit acts or waits, restores 10 HP to adjacent allies and slightly increases support with them.	Quality Time
HP p15	HP +15	Grants max HP+15.	HP p5, HP p7, HP p10, HP p12
Lunar Brace	Lunar Brace	If unit initiates combat with a physical attack, deals extra damage=20% of foe’s Def.	
Solar Brace	Solar Brace	If unit initiates combat, unit recovers HP=30% of damage dealt.	
Eclipse Brace	Eclipse Brace	If unit initiates combat, unit deals extra damage=20% of foe’s Def with physical attacks and recovers HP=30% of damage dealt.	
Dodge p10	Dodge +10	Grants Ddg+10.	Dodge p15, Dodge p20, Dodge p25, Dodge p30
Night and Day	Night and Day	Use to switch Emblems and swap between Lunar Brace/Gentility and Solar Brace/Bravery for all allies.	
Sacred Twins	Sacred Twins	While engaged with Eirika, changes Lunar Brace to Eclipse Brace and Gentility to Blue Skies for all allies.	
Twin Strike	Twin Strike	Use to make a sword attack followed by a lance attack from Ephraim on adjacent foe. Effective: Corrupted.	
Rapier	Rapier	Sword wielded by Emblem Marth. Effective: Cavalry, Armored.	
Lance Agility 1	Lance Agility 1	Grants Avo+10 at a cost of Crit-10 when using a lance.	Lance Agility 2, Lance Agility 3, Lance Agility 4, Lance Agility 5
Gentility	Gentility	Unit takes 3 less damage.	
Bravery	Bravery	Unit deals +3 damage.	
Blue Skies	Blue Skies	Unit takes 3 less damage and deals +3 damage.	
Dodge p15	Dodge +15	Grants Ddg+15.	Dodge p10, Dodge p20, Dodge p25, Dodge p30
Lance Agility 2	Lance Agility 2	Grants Avo+15 at a cost of Crit-10 when using a lance.	Lance Agility 1, Lance Agility 3, Lance Agility 4, Lance Agility 5
Dodge p20	Dodge +20	Grants Ddg+20.	Dodge p10, Dodge p15, Dodge p25, Dodge p30
Wind Sword	Wind Sword	Magical sword wielded by Emblem Eirika. Can strike close or at range. Effective: Flying.	
Lance Agility 3	Lance Agility 3	Grants Avo+20 at a cost of Crit-10 when using a lance.	Lance Agility 1, Lance Agility 2, Lance Agility 4, Lance Agility 5
Lunar Bracep	Lunar Brace+	If unit initiates combat with a physical attack, deals extra damage=30% of foe’s Def.	
Solar Bracep	Solar Brace+	If unit initiates combat, unit recovers HP=50% of damage dealt.	
Eclipse Bracep	Eclipse Brace+	If unit initiates combat, unit deals extra damage=30% of foe’s Def with physical attacks and recovers HP=50% of damage dealt.	
Dodge p25	Dodge +25	Grants Ddg+25.	Dodge p10, Dodge p15, Dodge p20, Dodge p30
Sieglinde	Sieglinde	Paired sword wielded by Emblem Eirika. Effective: Corrupted.	
Lance Agility 4	Lance Agility 4	Grants Avo+25 at a cost of Crit-10 when using a lance.	Lance Agility 1, Lance Agility 2, Lance Agility 3, Lance Agility 5
Lance Agility 5	Lance Agility 5	Grants Avo+30 at a cost of Crit-10 when using a lance.	Lance Agility 1, Lance Agility 2, Lance Agility 3, Lance Agility 4
Gentilityp	Gentility+	Unit takes 5 less damage.	
Braveryp	Bravery+	Unit deals +5 damage.	
Blue Skiesp	Blue Skies+	Unit takes 5 less damage and deals +5 damage.	
Dodge p30	Dodge +30	Grants Ddg+30.	Dodge p10, Dodge p15, Dodge p20, Dodge p25
Holy Aura	Holy Aura	Unit is Effective: Fell Dragon. Allies within 2 spaces with Effective: Dragon gain Effective: Fell Dragon. [Might multiplier of 2.]	
Attuned	Attuned	If unit initiates combat and defeats foe, grants engage partner +4 to all seven basic stats while engaged.	
Dragon Blast	Dragon Blast	Use to make two attacks against an adjacent foe with a sword and powerful magic beam.	
Bond Blast	Bond Blast	Use to make a sword attack from the unit and engage partner followed by a magic beam attack against an adjacent foe.	
Bond Forger	Bond Forger	Grants Hit/Avo+20 to unit and allies within 2 spaces that are synced or engaged with an Emblem.	Bond Forgerp
Bond Forgerp	Bond Forger+	Grants Hit/Avo+30 to unit and allies within 2 spaces that are synced or engaged with an Emblem.	Bond Forger
Holy Shield	Holy Shield	Neutralizes Effective against this unit.	
Boon of Elyos	Boon of Elyos	If unit initiates combat, grants bonus to Crit and Ddg equal to 2× the number of allies who have acted this turn.	
Gambit	Gambit	Effects change based on synced Emblem.	
Flame Gambit	Flame Gambit	Use when synced with Edelgard to attack a foe, then set the target foe’s space and nearby spaces on fire.	
Shield Gambit	Shield Gambit	Use when synced with Dimitri to negate damage from first attacks of ranged foes targeting unit in next enemy phase.	
Poison Gambit	Poison Gambit	Use when synced with Claude to attack a foe, then poison target and all foes adjacent to it after combat.	
Friendly Rivalry	Friendly Rivalry	At start of player phase, the Emblem will randomly switch to Edelgard, Dimitri, or Claude.	
Combat Arts	Combat Arts	Enables use of Edelgard, Dimitri, or Claude’s Combat Art. Spends some remaining engage turns.	
Raging Storm	Raging Storm	After combat, take another action. (Spend 3 turns.)	
Atrocity	Atrocity	Attack at double weapon’s Mt. (Spend 1 turn.)	
Fallen Star	Fallen Star	Avoid foe’s attacks during next combat. (Spend 1 turn.)	
Houses Unite	Houses Unite	Use to attack with Aymr, Areadbhar, and Failnaught at 50% damage.	
Houses Unitep	Houses Unite+	Use to attack with Aymr, Areadbhar, and Failnaught at 50% damage. After combat, take another action. (Requires adjacent Byleth)	
Assembly Gambit	Assembly Gambit	Use to attack an adjacent foe, then move 1 space away after combat. Target foe moves to unit’s previous space.	
StrDex p1	Str/Dex +1	Grants Str+1 and Dex+1.	StrDex p2, StrDex p3, StrDex p4, StrDex p5
Lineage	Lineage	Increases unit’s earned experience by 20%.	
Bow Guard 1	Bow Guard 1	If foe is equipped with a bow, unit takes 1 less damage during combat.	Bow Guard 2, Bow Guard 3, Bow Guard 4, Bow Guard 5
Skill Inheritance	Skill Inheritance	Unit can inherit this Emblem’s skills.	
StrDex p2	Str/Dex +2	Grants Str+2 and Dex+2.	StrDex p1, StrDex p3, StrDex p4, StrDex p5
Bow Guard 2	Bow Guard 2	If foe is equipped with a bow, unit takes 2 less damage during combat.	Bow Guard 1, Bow Guard 3, Bow Guard 4, Bow Guard 5
Weapon Sync	Weapon Sync	If unit initiates combat using same weapon type as the synced Emblem, grants Atk+5. If engaged, grants Atk+5 regardless of weapon type.	Weapon Syncp
StrDex p3	Str/Dex +3	Grants Str+3 and Dex+3.	StrDex p1, StrDex p2, StrDex p4, StrDex p5
Bow Guard 3	Bow Guard 3	If foe is equipped with a bow, unit takes 3 less damage during combat.	Bow Guard 1, Bow Guard 2, Bow Guard 4, Bow Guard 5
StrDex p4	Str/Dex +4	Grants Str+4 and Dex+4.	StrDex p1, StrDex p2, StrDex p3, StrDex p5
Weapon Syncp	Weapon Sync+	If unit initiates combat using same weapon type as the synced Emblem, grants Atk+7. If engaged, grants Atk+7 regardless of weapon type.	Weapon Sync
Bow Guard 4	Bow Guard 4	If foe is equipped with a bow, unit takes 4 less damage during combat.	Bow Guard 1, Bow Guard 2, Bow Guard 3, Bow Guard 5
StrDex p5	Str/Dex +5	Grants Str+5 and Dex+5.	StrDex p1, StrDex p2, StrDex p3, StrDex p4
Bow Guard 5	Bow Guard 5	If foe is equipped with a bow, unit takes 5 less damage during combat.	Bow Guard 1, Bow Guard 2, Bow Guard 3, Bow Guard 4
Starsphere	Starsphere	Grants unit enhanced stat growth when leveling up. [Adds +15% to final growth rates.]	
Draconic Form	Draconic Form	Unit transforms into and fights as a dragon while engaged. Grants +10 to max HP and +5 to Bld and all basic stats.	
Divine Blessing	Divine Blessing	Use to grant 1 ally a Revival Stone.	
Divine Blessingp	Divine Blessing+	Use to grant 1 ally a Revival Stone. If ally is not synced, fully restore HP. If ally is synced, +3 to engage meter. If ally is engaged, restore engage turns. (Requires adjacent Marth)	
HPLck p2	HP/Lck +2	Grants HP+2 and Lck+2.	HPLck p4, HPLck p6, HPLck p8, HPLck p10
Geosphere	Geosphere	At start of player phase, if there are allies adjacent to unit, grants Def/Res+3 to unit and those allies for 1 turn.	Geospherep
Special Guard 1	Special Guard 1	If foe is equipped with a special attack, unit takes 1 less damage during combat.	Special Guard 2, Special Guard 3, Special Guard 4, Special Guard 5
HPLck p4	HP/Lck +4	Grants HP+4 and Lck+4.	HPLck p2, HPLck p6, HPLck p8, HPLck p10
Lifesphere	Lifesphere	If unit uses Wait without attacking or using items, restores 20 HP and heals status effects.	Lifespherep, Lifespherepp
Special Guard 2	Special Guard 2	If foe is equipped with a special attack, unit takes 2 less damage during combat.	Special Guard 1, Special Guard 3, Special Guard 4, Special Guard 5
Lightsphere	Lightsphere	If unit initiates combat, halves chance of receiving critical hit from foe.	
HPLck p6	HP/Lck +6	Grants HP+6 and Lck+6.	HPLck p2, HPLck p4, HPLck p8, HPLck p10
Special Guard 3	Special Guard 3	If foe is equipped with a special attack, unit takes 3 less damage during combat.	Special Guard 1, Special Guard 2, Special Guard 4, Special Guard 5
Lifespherep	Lifesphere+	If unit uses Wait without attacking or using items, restores 30 HP and heals status effects.	Lifesphere, Lifespherepp
HPLck p8	HP/Lck +8	Grants HP+8 and Lck+8.	HPLck p2, HPLck p4, HPLck p6, HPLck p10
Geospherep	Geosphere+	At start of player phase, if there are allies adjacent to unit, grants Def/Res+5 to unit and those allies for 1 turn.	Geosphere
Special Guard 4	Special Guard 4	If foe is equipped with a special attack, unit takes 4 less damage during combat.	Special Guard 1, Special Guard 2, Special Guard 3, Special Guard 5
HPLck p10	HP/Lck +10	Grants HP+10 and Lck+10.	HPLck p2, HPLck p4, HPLck p6, HPLck p8
Lifespherepp	Lifesphere++	If unit uses Wait without attacking or using items, restores 40 HP and heals status effects.	Lifesphere, Lifespherep
Special Guard 5	Special Guard 5	If foe is equipped with a special attack, unit takes 5 less damage during combat.	Special Guard 1, Special Guard 2, Special Guard 3, Special Guard 4
Quick Riposte	Quick Riposte	If unit’s HP is 80% or more and foe initiates combat, unit will always follow up (if weapon allows).	Quick Ripostep
Impenetrable	Impenetrable	If foe initiates combat, grants Def/Res+30% during combat.	
Storms Eye	Storm’s Eye	Grants immunity to break. Foe cannot follow up. Unit follows up. Lasts 1 turn. Sword/axe only.	
Storms Eyep	Storm’s Eye+	Grants immunity to break. Foe cannot follow up. Unit counters before foe’s first attack and follows up. Lasts 1 turn. Sword/axe only. (Requires adjacent Lyn)	
StrDef p1	Str/Def +1	Grants Str+1 and Def+1.	StrDef p2, StrDef p3, StrDef p4, StrDef p5
Adaptability	Adaptability	When hit by a foe’s attack, grants Def+2 for a physical attack or Res+2 for a magical attack after combat. Lasts until end of battle, or until activated again.	Adaptabilityp
Axe Guard 1	Axe Guard 1	If foe is equipped with an axe, unit takes 1 less damage during combat.	Axe Guard 2, Axe Guard 3, Axe Guard 4, Axe Guard 5
StrDef p2	Str/Def +2	Grants Str+2 and Def+2.	StrDef p1, StrDef p3, StrDef p4, StrDef p5
Heavy Attack	Heavy Attack	When making a physical attack, if an equipped weapon’s Wt exceeds unit’s Bld, adds excess as damage. (Max +5)	
Axe Guard 2	Axe Guard 2	If foe is equipped with an axe, unit takes 2 less damage during combat.	Axe Guard 1, Axe Guard 3, Axe Guard 4, Axe Guard 5
StrDef p3	Str/Def +3	Grants Str+3 and Def+3.	StrDef p1, StrDef p2, StrDef p4, StrDef p5
Piercing Glare	Piercing Glare	Use when HP is full to consume 20% of max HP and prevent foes from entering the 4 spaces diagonally adjacent to unit for 1 turn.	
Axe Guard 3	Axe Guard 3	If foe is equipped with an axe, unit takes 3 less damage during combat.	Axe Guard 1, Axe Guard 2, Axe Guard 4, Axe Guard 5
StrDef p4	Str/Def +4	Grants Str+4 and Def+4.	StrDef p1, StrDef p2, StrDef p3, StrDef p5
Quick Ripostep	Quick Riposte+	If unit’s HP is 60% or more and foe initiates combat, unit will always follow up (if weapon allows).	Quick Riposte
Axe Guard 4	Axe Guard 4	If foe is equipped with an axe, unit takes 4 less damage during combat.	Axe Guard 1, Axe Guard 2, Axe Guard 3, Axe Guard 5
StrDef p5	Str/Def +5	Grants Str+5 and Def+5.	StrDef p1, StrDef p2, StrDef p3, StrDef p4
Adaptabilityp	Adaptability+	When hit by a foe’s attack, grants Def+3 for a physical attack or Res+3 for a magical attack after combat. Lasts until end of battle, or until activated again.	Adaptability
Axe Guard 5	Axe Guard 5	If foe is equipped with an axe, unit takes 5 less damage during combat.	Axe Guard 1, Axe Guard 2, Axe Guard 3, Axe Guard 4
Assign Decoy	Assign Decoy	Use to make one chosen ally more likely to be targeted by enemies for 1 turn. Effect is removed after ally is targeted by or otherwise damaged by foes 3 times.	
Flare	Flare	When attacking with tomes, inflicts Res-20% on foe, and unit recovers 50% of damage dealt.	
Cataclysm	Cataclysm	Use to attack foes in an area with fire, thunder and wind magic at 40% damage. Wind is effective: Flying.	
Cataclysmp	Cataclysm+	Use to attack foes in an area with fire, thunder and wind magic at 40% damage. Wind is effective: Flying.	
MagRes p1	Mag/Res +1	Grants Mag+1 and Res+1.	MagRes p2, MagRes p3, MagRes p4, MagRes p5
Magic Guard 1	Magic Guard 1	If foe is equipped with a tome, unit takes 1 less damage during combat.	Magic Guard 2, Magic Guard 3, Magic Guard 4, Magic Guard 5
Anima Focus	Anima Focus	When using tomes, unit inflicts Def-3 with fire, Hit-20 with thunder, or Mov-2 with wind magic for 1 turn.	
MagRes p2	Mag/Res +2	Grants Mag+2 and Res+2.	MagRes p1, MagRes p3, MagRes p4, MagRes p5
Magic Guard 2	Magic Guard 2	If foe is equipped with a tome, unit takes 2 less damage during combat.	Magic Guard 1, Magic Guard 3, Magic Guard 4, Magic Guard 5
Keen Insight	Keen Insight	When unit deals Effective damage, deal +5 damage.	Keen Insightp
MagRes p3	Mag/Res +3	Grants Mag+3 and Res+3.	MagRes p1, MagRes p2, MagRes p4, MagRes p5
Block Recovery	Block Recovery	When attacking a broken foe with a tome, grants a chance the foe will remain broken. Chance increases with high Spd.	
Magic Guard 3	Magic Guard 3	If foe is equipped with a tome, unit takes 3 less damage during combat.	Magic Guard 1, Magic Guard 2, Magic Guard 4, Magic Guard 5
MagRes p4	Mag/Res +4	Grants Mag+4 and Res+4.	MagRes p1, MagRes p2, MagRes p3, MagRes p5
Magic Guard 4	Magic Guard 4	If foe is equipped with a tome, unit takes 4 less damage during combat.	Magic Guard 1, Magic Guard 2, Magic Guard 3, Magic Guard 5
Keen Insightp	Keen Insight+	When unit deals Effective damage, deal +7 damage.	Keen Insight
MagRes p5	Mag/Res +5	Grants Mag+5 and Res+5.	MagRes p1, MagRes p2, MagRes p3, MagRes p4
Magic Guard 5	Magic Guard 5	If foe is equipped with a tome, unit takes 5 less damage during combat.	Magic Guard 1, Magic Guard 2, Magic Guard 3, Magic Guard 4
SpdRes p1	Spd/Res +1	Grants Spd+1 and Res+1.	SpdRes p1, SpdRes p2, SpdRes p3, SpdRes p4, SpdRes p5
Dragon Vein Camilla	Dragon Vein	Use to add a special effect to certain spaces.	
Soar	Soar	Grants Mov+2. Unit can cross terrain as if flying.	
Dark Inferno	Dark Inferno	Use to deal damage to foes on certain spaces near unit and set those spaces on fire.	
Dark Infernop	Dark Inferno+	Use to deal damage to foes on certain spaces near unit and set those spaces on fire. (Requires adjacent Corrin)	
Lance Guard 1	Lance Guard 1	If foe is equipped with a lance, unit takes 1 less damage during combat.	Lance Guard 2, Lance Guard 3, Lance Guard 4, Lance Guard 5
SpdRes p2	Spd/Res +2	Grants Spd+2 and Res+2.	SpdRes p1, SpdRes p3, SpdRes p4, SpdRes p5
Decisive Strike	Decisive Strike	If unit initiates combat and lands a critical, deals 5 damage to foe after combat.	Decisive Strikep
Lance Guard 2	Lance Guard 2	If foe is equipped with a lance, unit takes 2 less damage during combat.	Lance Guard 1, Lance Guard 3, Lance Guard 4, Lance Guard 5
Detoxify	Detoxify	Cures poison at start of turn.	
SpdRes p3	Spd/Res +3	Grants Spd+3 and Res+3.	SpdRes p1, SpdRes p2, SpdRes p4, SpdRes p5
Groundswell	Groundswell	After unit acts or waits in flames, miasma, or similar terrain effect, unit clears effect and recovers 10 HP.	
Lance Guard 3	Lance Guard 3	If foe is equipped with a lance, unit takes 3 less damage during combat.	Lance Guard 1, Lance Guard 2, Lance Guard 4, Lance Guard 5
SpdRes p4	Spd/Res +4	Grants Spd+4 and Res+4.	SpdRes p1, SpdRes p2, SpdRes p3, SpdRes p5
Lance Guard 4	Lance Guard 4	If foe is equipped with a lance, unit takes 4 less damage during combat.	Lance Guard 1, Lance Guard 2, Lance Guard 3, Lance Guard 5
Decisive Strikep	Decisive Strike+	If unit initiates combat and lands a critical, deals 10 damage to foe after combat.	Decisive Strike
SpdRes p5	Spd/Res +5	Grants Spd+5 and Res+5.	SpdRes p1, SpdRes p2, SpdRes p3, SpdRes p4
Lance Guard 5	Lance Guard 5	If foe is equipped with a lance, unit takes 5 less damage during combat.	Lance Guard 1, Lance Guard 2, Lance Guard 3, Lance Guard 4
Surprise Attack	Surprise Attack	If unit initiates combat from terrain that provides an Avo bonus, foe cannot counterattack.	
Other Half	Other Half	If unit initiates combat, Robin chain attacks. Grants Mag+10 while engaged.	
Giga Levin Sword	Giga Levin Sword	Use to attack with a magic sword. Magic attack that uses physical attack power. Swords only.	
Giga Levin Swordp	Giga Levin Sword+	Use to attack with a magic sword. Magic attack that uses physical attack power. Swords only. Adjacent allies chain attack. (requires adjacent Lucina)	
SpdDex p1	Spd/Dex +1	Grants Spd+1 and Dex+1.	SpdDex p2, SpdDex p3, SpdDex p4, SpdDex p5
Sword Guard 1	Sword Guard 1	If foe is equipped with a sword, unit takes 1 less damage during combat.	Sword Guard 2, Sword Guard 3, Sword Guard 4, Sword Guard 5
Rally Spectrum	Rally Spectrum	Use to grant adjacent allies +3 to all seven basic stats for 1 turn.	Rally Spectrump
SpdDex p2	Spd/Dex +2	Grants Spd+2 and Dex+2.	SpdDex p1, SpdDex p3, SpdDex p4, SpdDex p5
Brute Force	Brute Force	While making a physical attack, critical hits deal increased damage.	
Sword Guard 2	Sword Guard 2	If foe is equipped with a sword, unit takes 2 less damage during combat.	Sword Guard 1, Sword Guard 3, Sword Guard 4, Sword Guard 5
SpdDex p3	Spd/Dex +3	Grants Spd+3 and Dex+3.	SpdDex p1, SpdDex p2, SpdDex p4, SpdDex p5
Charm	Charm	If unit’s attack triggers a chain attack, increases chain attack accuracy to 90%.	
Sword Guard 3	Sword Guard 3	If foe is equipped with a sword, unit takes 3 less damage during combat.	Sword Guard 1, Sword Guard 2, Sword Guard 4, Sword Guard 5
SpdDex p4	Spd/Dex +4	Grants Spd+4 and Dex+4.	SpdDex p1, SpdDex p2, SpdDex p3, SpdDex p5
Sword Guard 4	Sword Guard 4	If foe is equipped with a sword, unit takes 4 less damage during combat.	Sword Guard 1, Sword Guard 2, Sword Guard 3, Sword Guard 5
Rally Spectrump	Rally Spectrum+	Use to grant allies within 2 spaces +3 to all seven basic stats for 1 turn.	Rally Spectrum
SpdDex p5	Spd/Dex +5	Grants Spd+5 and Dex+5.	SpdDex p1, SpdDex p2, SpdDex p3, SpdDex p4
Sword Guard 5	Sword Guard 5	If foe is equipped with a sword, unit takes 5 less damage during combat.	Sword Guard 1, Sword Guard 2, Sword Guard 3, Sword Guard 4
Reprisal	Reprisal	If unit’s HP is not full, adds 30% of lost HP to Atk.	Reprisalp
Contract	Contract	Use to grant another action to an adjacent ally who has already acted. (Ally cannot move.)	
Summon Hero	Summon Hero	Use to summon a random unit.	
MagDex p1	Mag/Dex +1	Grants Mag+1 and Dex+1.	MagDex p2, MagDex p3, MagDex p4, MagDex p5
Book of Worlds	Book of Worlds	Book of Worlds advances 1 stage (to max 5) for each consecutive round that unit uses Wait. Reverts to base stage if unit triggers the effect.\n\n[Book I: Seal] If unit initiates combat, freezes foe after combat.\n[Book II: Flame] If unit initiates combat, freezes foe and sets foe’s space on fire after combat.\n[Book III: Death] If unit initiates combat, deals 10 damage, freezes foe, and sets foe’s space on fire after combat.\n[Book IV: Dream] If unit initiates combat, restores HP equal to damage dealt during combat, then deals 10 damage, freezes foe, and sets foe’s space on fire after combat.\n[Book V: Science] If unit initiates combat, restores HP to self and adjacent allies equal to damage dealt during combat, then deals 10 damage, freezes foe, and sets foe’s space on fire after combat.\n	
Knife Guard 1	Knife Guard 1	If foe is equipped with a knife, unit takes 1 less damage during combat.	Knife Guard 2, Knife Guard 3, Knife Guard 4, Knife Guard 5
MagDex p2	Mag/Dex +2	Grants Mag+2 and Dex+2.	MagDex p1, MagDex p3, MagDex p4, MagDex p5
Level Boost	Level Boost	When unit defeats a foe of a higher level, grants Lvl+1 until the end of battle. (Max +3)	
Knife Guard 2	Knife Guard 2	If foe is equipped with a knife, unit takes 2 less damage during combat.	Knife Guard 1, Knife Guard 3, Knife Guard 4, Knife Guard 5
MagDex p3	Mag/Dex +3	Grants Mag+3 and Dex+3.	MagDex p1, MagDex p2, MagDex p4, MagDex p5
SP Conversion	SP Conversion	Grants +20 SP for each defeated foe. Triggers even without a ring or bracelet equipped.	
Knife Guard 3	Knife Guard 3	If foe is equipped with a knife, unit takes 3 less damage during combat.	Knife Guard 1, Knife Guard 2, Knife Guard 4, Knife Guard 5
MagDex p4	Mag/Dex +4	Grants Mag+4 and Dex+4.	MagDex p1, MagDex p2, MagDex p3, MagDex p5
Knife Guard 4	Knife Guard 4	If foe is equipped with a knife, unit takes 4 less damage during combat.	Knife Guard 1, Knife Guard 2, Knife Guard 3, Knife Guard 5
Reprisalp	Reprisal+	If unit’s HP is not full, adds 50% of lost HP to Atk.	Reprisal
MagDex p5	Mag/Dex +5	Grants Mag+5 and Dex+5.	MagDex p1, MagDex p2, MagDex p3, MagDex p4
Knife Guard 5	Knife Guard 5	If foe is equipped with a knife, unit takes 5 less damage during combat.	Knife Guard 1, Knife Guard 2, Knife Guard 3, Knife Guard 4